,index,word,_score,_pvalue
0,567,giá,255.35630277513593,4.5424233223477704e-55
1,1099,rẻ,167.86351628288264,3.6803003173888935e-36
2,252,bán,152.11699643147668,9.20598419471339e-33
3,911,mức,125.40541816776296,5.285429424884784e-27
4,1365,tương_tự,122.85633802816903,1.871616243730494e-26
5,1602,đồng,122.59437817805197,2.1312997503278351e-26
6,1296,triệu,117.41379163422185,2.7820915548184967e-25
7,112,405,91.60000000000001,9.928106520308666e-20
8,1579,đặc_điểm,91.60000000000001,9.928106520308666e-20
9,1346,táp,91.60000000000001,9.928106520308666e-20
10,819,lô,91.60000000000001,9.928106520308666e-20
11,632,hn,91.60000000000001,9.928106520308666e-20
12,722,khu_vực,91.60000000000001,9.928106520308666e-20
13,194,901,91.60000000000001,9.928106520308666e-20
14,202,940,91.60000000000001,9.928106520308666e-20
15,921,ngay_vẻ,91.60000000000001,9.928106520308666e-20
16,175,799,91.60000000000001,9.928106520308666e-20
17,207,988,91.60000000000001,9.928106520308666e-20
18,197,917,91.60000000000001,9.928106520308666e-20
19,1452,wigo,91.60000000000001,9.928106520308666e-20
20,5,066,91.60000000000001,9.928106520308666e-20
21,1535,đâu,91.60000000000001,9.928106520308666e-20
22,99,345,91.60000000000001,9.928106520308666e-20
23,1283,tphcm,91.60000000000001,9.928106520308666e-20
24,2,048,91.60000000000001,9.928106520308666e-20
25,188,878,91.60000000000001,9.928106520308666e-20
26,1,006,91.60000000000001,9.928106520308666e-20
27,7,075,91.60000000000001,9.928106520308666e-20
28,4,056,91.60000000000001,9.928106520308666e-20
29,301,cao,55.470073569583825,5.450343116100602e-12
30,1029,phiên_bản,54.69715908773655,7.96742790073975e-12
31,1002,nước,53.37124810030401,1.52789828202097e-11
32,1575,đắt,53.079890853827095,1.7628506838136916e-11
33,831,lần_lượt,50.302667066227166,6.887156833654991e-11
34,422,có_giá,49.467266927432554,1.0373993625419118e-10
35,822,lăn,49.22553191489362,1.167925166880167e-10
36,255,bánh,49.22553191489362,1.167925166880167e-10
37,200,932,48.43392857142858,1.7215719433919994e-10
38,1314,trường,48.43392857142858,1.7215719433919994e-10
39,1393,từng,44.95211267605634,9.472085970487447e-10
40,773,kéo_dài,44.95211267605634,9.472085970487447e-10
41,482,diesel,44.95211267605634,9.472085970487447e-10
42,1030,phong_cách,44.95211267605634,9.472085970487447e-10
43,586,giữa,41.3148936170213,5.607025310574441e-09
44,303,cao_giá,41.00141843971633,6.534674467754609e-09
45,302,cao_cấp,39.25079840746619,1.5357887851930735e-08
46,966,nhất,37.84228641011913,3.0523429200262943e-08
47,445,cảm_giác,37.286934104627825,4.001057936517487e-08
48,1212,thương_hiệu,37.2533654646556,4.067038953639699e-08
49,984,niêm_yết,36.42407548125636,6.09135452722263e-08
50,92,3008,33.90630699088147,2.073500277687289e-07
51,866,mt,31.057360831656617,8.267334255645209e-07
52,950,nhu_cầu,31.057360831656617,8.267334255645209e-07
53,707,indonesia,31.057360831656617,8.267334255645209e-07
54,1392,từ,30.292657031968794,1.1976441715160678e-06
55,1398,tỷ,29.721833839918972,1.5790677028762918e-06
56,969,nhập_khẩu,29.721833839918972,1.5790677028762918e-06
57,1147,sản_xuất,29.327120167815416,1.9115593076840925e-06
58,1577,đặc_biệt,26.16259093019657,8.818289453452737e-06
59,728,khách_hàng,24.741573829227466,1.7485745775260163e-05
60,999,năm,23.31526756282377,3.4711099512066996e-05
61,1247,tiêu_chuẩn,22.91699130955949,4.2024212375755866e-05
62,945,nhau,22.870634302267504,4.2969502430604955e-05
63,402,cuv,22.674170708139446,4.721658917747836e-05
64,1035,phân,22.65574481257445,4.763575366538384e-05
65,741,khúc,22.65574481257445,4.763575366538384e-05
66,723,khung,22.521189637826968,5.0811201676122266e-05
67,1169,thanh_thoát,22.521189637826968,5.0811201676122266e-05
68,245,bmw,22.521189637826968,5.0811201676122266e-05
69,563,gia_đình,22.084507042253517,6.264263653050745e-05
70,1277,toyota_wigo,22.084507042253517,6.264263653050745e-05
71,847,lựa_chọn,20.820619002770446,0.00011470336652571398
72,835,lắp_ráp,20.42752502859103,0.00013840415253194997
73,957,như,20.279191522865332,0.00014856386191787124
74,806,ltz,20.231857902735587,0.0001519595621208254
75,616,hai,19.779290588793938,0.0001885902272712619
76,1511,đang,19.737323242462907,0.00019240300726788807
77,777,kích_thước,19.028843757746678,0.00026967001462921566
78,552,forester,19.011239931993202,0.00027193974621966046
79,812,là,18.696195769287815,0.00031592906438797277
80,492,dài,18.242921609758504,0.00039191117296057354
81,909,mới_mẻ,17.95704724802718,0.0004489132096904705
82,519,dễ_dàng,17.83781839976027,0.00047505681919589695
83,251,bài,17.702127659574483,0.000506656063701289
84,407,càng,17.702127659574483,0.000506656063701289
85,1377,tập_trung,17.702127659574483,0.000506656063701289
86,1037,phân_tích,17.702127659574483,0.000506656063701289
87,834,lắm,17.702127659574483,0.000506656063701289
88,1090,rào_cản,17.702127659574483,0.000506656063701289
89,1399,usd,17.702127659574483,0.000506656063701289
90,1192,thái_lan,17.702127659574483,0.000506656063701289
91,719,khoảng_cách,17.702127659574483,0.000506656063701289
92,980,những,17.604781785490605,0.0005306047313521757
93,599,gì,17.52117706237425,0.0005520689640213627
94,1427,vì,17.26589751273601,0.000623095612194987
95,898,mềm,17.065444528875403,0.0006851732025394847
96,605,gầm,16.207929548173702,0.0010279291568463663
97,466,cụ_thể,16.118781245392004,0.0010721362790302195
98,960,như_vậy,15.999493771137525,0.001134255316832495
99,1130,subaru,15.574975785564476,0.0013857409588472704
100,1074,ra,15.446478293520025,0.0014722524834378747
101,625,hiện,15.369138845229482,0.0015268838274713195
102,327,chiều,15.196936134439824,0.001655857622405376
103,1194,thân,14.867605633802807,0.0019333565339992279
104,1386,tốt,14.790852431663179,0.002004389936903017
105,357,chắc,14.5357142857143,0.0022596380071985512
106,253,bán_chạy,14.5357142857143,0.0022596380071985512
107,636,honda_brio,14.5357142857143,0.0022596380071985512
108,597,gây,14.5357142857143,0.0022596380071985512
109,248,brio,14.409491523609754,0.002397580175271497
110,726,khác,14.377226360527253,0.002434160778130211
111,1226,thể_hiện,14.289243796109995,0.002536746354902209
112,928,ngoại_hình,14.289243796109995,0.002536746354902209
113,537,ertiga,14.289243796109995,0.002536746354902209
114,1026,peugeot,14.289243796109995,0.002536746354902209
115,478,dao_động,14.118920972644402,0.002747669533259799
116,903,một,13.984598964948145,0.002926191343819568
117,9,100,13.186532492829345,0.004250101116292828
118,1413,việt_nam,12.812929586978186,0.00505912655997555
119,1245,titanium,12.113200693522861,0.007005273428535265
120,967,nhận,11.798075229492468,0.008107870968831305
121,298,cabin,11.798075229492468,0.008107870968831305
122,892,mặc_dù,11.798075229492468,0.008107870968831305
123,1122,so_sánh,11.496268857004576,0.00932387679102109
124,293,bổ_sung,11.30749746707195,0.010174189642853751
125,1501,ít,11.024055503232182,0.011596506990351925
126,1234,thời_điểm,11.024055503232182,0.011596506990351925
127,870,mà,10.982990398872968,0.011818209394739024
128,846,lợi_thế,10.92568817158274,0.012134569804281181
129,938,ngược_lại,10.925523138833015,0.012135492881086986
130,1297,trong,10.707814618205767,0.013415449884807104
131,501,dòng,10.569493557087219,0.014296817024780892
132,490,duy_nhất,10.569493557087219,0.014296817024780892
133,365,chọn,10.569493557087219,0.014296817024780892
134,894,mặt_bằng,10.569493557087219,0.014296817024780892
135,1170,thay_đổi,10.477496227364183,0.014914332817689887
136,313,chevrolet,10.423146324757088,0.015291406227548958
137,679,hạng,10.139225726700664,0.01741899472895296
138,1537,đã,10.053095582954018,0.018120153734112347
139,495,dành,10.004553001902018,0.01852747289884086
