Word_idx,Word,POS,Tag
357,ngược_lại,V,0
357,với,E,0
357,đối_thủ,N,3
357,",",F,0
357,kia,P,1
357,sorento,V,2
357,hơi,N,0
357,thất_thế,V,0
357,bởi,E,0
357,nội_thất,N,0
357,của,E,0
357,xe,N,0
357,không,R,0
357,quá,R,0
357,ấn_tượng,A,0
548,nhìn_chung,X,0
548,",",F,0
548,ở,E,0
548,phân,N,0
548,khúc,N,0
548,hạng,N,0
548,a,N,0
548,",",F,0
548,những,L,0
548,thiết_kế,N,0
548,trên,E,0
548,Kia_Morning,Np,1
548,2020,M,2
548,chủ_yếu,A,0
548,ở,E,0
548,mức,N,0
548,cơ_bản,A,0
548,và,C,0
548,với,E,0
548,mức,N,0
548,giá,N,0
548,rẻ,A,0
548,",",F,0
548,người,N,0
548,dùng,V,0
548,cũng,R,0
548,khó,A,0
548,có_thể,R,0
548,đòi_hỏi,V,0
548,hơn,R,0
565,trong,E,0
565,khi,N,0
565,phía,N,0
565,đối_thủ,N,0
565,",",F,0
565,mitsubishi,N,1
565,xpander,V,2
565,cho,V,0
565,thấy,V,0
565,kích_thước,N,0
565,bề_thế,A,0
565,của,E,0
565,một,M,0
565,chiếc,Nc,0
565,mpv,N,0
565,chính_hiệu,A,0
565,khi,N,0
565,sở_hữu,V,0
565,kích_thước,N,0
565,4.475,M,0
565,x,N,0
565,1.750,M,0
565,x,N,0
565,1.700,M,0
565,mm,Nu,0
304,các,L,0
304,kích_thước,N,0
304,của,E,0
304,ciaz,N,1
304,đều,R,0
304,nhỉnh,V,0
304,hơn,A,0
304,hẳn,R,0
304,sunny,N,3
304,",",F,0
304,đồng_thời,C,0
304,suzuki,N,0
304,vẫn,R,0
304,đảm_bảo,V,0
304,khả_năng,N,0
304,xoay_trở,V,0
304,và,C,0
304,sự,Nc,0
304,cơ_động,V,0
304,nhờ,V,0
304,bán_kính,N,0
304,quay_vòng,N,0
304,"5,40",M,0
304,mét,Nu,0
304,kết_hợp,V,0
304,cùng,A,0
304,khoảng,N,0
304,sáng,N,0
304,gầm,N,0
304,tốt,A,0
304,nhất,R,0
304,phân,N,0
304,khúc,N,0
304,–,N,0
304,160,M,0
304,mm,Nu,0
352,về,V,0
352,trang_bị,V,0
352,an_toàn,A,0
352,",",F,0
352,mẫu,N,1
352,xe,N,0
352,hàn,V,0
352,quốc_thể_hiện,V,0
352,sự,Nc,0
352,vượt_trội,V,0
352,so,V,0
352,với,E,0
352,đối_thủ,N,3
352,khi,N,0
352,có,V,0
352,tới,E,0
352,6,M,0
352,túi,N,0
352,khí,N,0
352,(,F,0
352,cruze,N,0
352,chỉ,R,0
352,có,V,0
352,4,M,0
352,túi,N,0
352,khí,N,0
352,),F,0
259,đặc_biệt,A,0
259,",",F,0
259,chiều,N,0
259,dài,A,0
259,trục,N,0
259,cơ_sở,N,0
259,của,E,0
259,kia,P,1
259,seltos,N,2
259,lớn,A,0
259,hơn,A,0
259,10,M,0
259,mm,N,0
259,so,V,0
259,với,E,0
259,kona,N,3
259,",",F,0
259,mang,V,0
259,đến,V,0
259,khoảng,N,0
259,để,E,0
259,chân,N,0
259,thoải_mái,A,0
259,hơn,R,0
259,cho,E,0
259,cả,P,0
259,hai,M,0
259,hàng,N,0
259,ghế,N,0
491,suzuki,N,1
491,xl7,A,2
491,2020,M,2
491,nổi_bật,N,0
491,hơn,A,0
491,các,L,0
491,đối_thủ,N,3
491,cùng,A,4
491,phân,N,4
491,khúc,N,4
491,khi,N,0
491,vô,V,0
491,-,F,0
491,lăng,V,0
491,dạng,N,0
491,d,N,0
491,-,F,0
491,cut,N,0
491,thể_thao,N,0
491,bọc,V,0
491,da,N,0
513,mặc_dù,C,0
513,sở_hữu,V,0
513,hệ_thống,N,0
513,khung,N,0
513,gầm,V,0
513,tương_tự,A,0
513,nhau,N,0
513,nhưng,C,0
513,suzuki,N,1
513,xl7,N,2
513,2020,M,2
513,được,V,0
513,nhà,N,0
513,sản_xuất,V,0
513,kéo_dài,A,0
513,hơn,R,0
513,mang,V,0
513,đến,E,0
513,cảm_giác,N,0
513,thân,V,0
513,xe,N,0
513,trường,N,0
513,và,C,0
513,thanh_thoát,A,0
513,hơn,R,0
513,những,L,0
513,gì,P,0
513,ertiga,N,3
513,đang,R,0
513,thể_hiện,V,0
41,mâm,N,0
41,xe,N,0
41,của,E,0
41,spark,N,1
41,lt,N,2
41,bé,A,0
41,hơn,A,0
41,1,M,0
41,chút,N,0
41,so,V,0
41,với,E,0
41,morning,N,3
41,s,N,4
41,khi,N,0
41,chỉ,R,0
41,có,V,0
41,kích_thước,N,0
41,là,V,0
41,14inch,M,0
396,về,V,0
396,khả_năng,N,0
396,chiếu,V,0
396,sáng,N,0
396,",",F,0
396,hyundai,N,1
396,accent,N,2
396,2021,M,2
396,sử_dụng,V,0
396,hệ_thống,N,0
396,đèn_pha,N,0
396,halogen,N,0
396,projector,A,0
396,nên,C,0
396,hiệu_năng,N,0
396,mang,V,0
396,lại,R,0
396,là,V,0
396,kém_cạnh,A,0
396,hơn,A,0
396,so,V,0
396,với,E,0
396,dàn,Nc,0
396,đèn,N,0
396,công_nghệ,N,0
396,led,V,0
396,hiện_đại,A,0
396,trên,E,0
396,toyota,N,3
396,vios,N,4
396,2021,M,4
573,so_sánh,V,0
573,các,L,0
573,thông_số,N,0
573,kích_thước,N,0
573,có_thể,R,0
573,thấy,V,0
573,hai,M,0
573,mẫu,N,0
573,xe,N,0
573,khá,R,0
573,tương_đồng,A,0
573,",",F,0
573,mirage,N,1
573,có,V,0
573,phần,N,0
573,nhỉnh,A,0
573,hơn,R,0
573,một_chút,L,0
573,nhưng,C,0
573,sự,Nc,0
573,chênh_lệch,A,0
573,là,V,0
573,không,R,0
573,lớn,A,0
